Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
ED-First African Baptist Church  ICP 1 - 0,10,5,1,3,1,234,7,6,12,26,12,40
ED-William C. Strozier Comm Center ICP 1 - 0,165,50,2,18,5,44,0,5,4,16,3,1
ED-White Bluff Presbyterian  ICP 1 - 0,73,21,1,7,3,92,0,1,10,21,3,9
ED-Resur of Our Lord Church  ICP 1 - 0,1,0,0,1,3,233,3,7,9,11,19,47
ED-Christ Community Church at Morningside  ICP 1 - 0,37,17,2,8,2,232,4,6,9,81,22,32
ED-Grace Church of Savannah ICP 1 - 0,104,56,2,32,6,58,2,1,8,35,2,10
ED-Islands Christian Church  ICP 1 - 0,217,85,4,51,10,38,1,6,19,33,2,8
ED-Ferguson Ave Baptist  ICP 1 - 0,311,185,6,62,10,72,6,4,10,17,7,11
ED-Windsor Forest Baptist  ICP 1 - 0,183,81,1,50,7,127,1,5,19,31,2,8
ED-Elks Lodge ICP 1 - 0,14,8,0,5,1,77,1,2,2,14,6,13
ED-First Baptist of the Island  ICP 1 - 0,187,65,2,35,9,44,1,1,18,27,3,4
ED-W W Law Center  ICP 1 - 0,26,17,0,10,3,291,7,14,18,101,32,46
ED-St. Luke United Methodist  ICP 1 - 0,222,78,4,54,7,97,1,9,14,61,4,18
ED-W. Chatham YMCA ICP 1 - 0,92,45,3,27,3,158,3,8,22,42,12,7
ED-Skidaway Island Methodist  ICP 1 - 0,412,238,13,101,10,89,1,11,46,42,0,13
ED-St Peters Episcopal  ICP 1 - 0,289,141,7,79,11,53,5,14,31,28,0,8
ED-Tybee Old School Cafe  ICP 1 - 0,189,62,3,43,8,88,4,5,18,33,1,24
ED-Trinity Lutheran Church  ICP 1 - 0,116,33,3,36,13,151,2,8,17,43,15,18
ED-Largo-Tibet Elementary  ICP 1 - 0,71,12,2,4,2,290,0,11,12,57,19,24
ED-Sycamore Church  ICP 1 - 0,184,79,1,33,7,223,1,6,12,49,11,12
ED-Liberty City Comm Ctr  ICP 1 - 0,7,1,0,1,0,327,5,7,5,18,17,63
ED-New Hamstead High School ICP 1 - 0,68,28,1,11,3,97,1,5,8,15,4,7
ED-Lake Shore Clubhouse ICP 1 - 0,31,15,1,2,3,277,9,11,7,33,24,29
ED-Thunderbolt Senior Citizen Center ICP 1 - 0,101,31,4,18,1,79,3,6,14,42,10,18
ED-Isle of Hope Baptist  ICP 1 - 0,219,91,1,83,3,51,5,5,13,45,1,17
ED-Savannah First Seventh-day Adventist Church ICP 1 - 0,57,30,0,13,4,222,7,12,6,49,13,24
ED-Beach High School  ICP 1 - 0,7,2,0,2,0,103,2,2,1,19,13,18
ED-Pooler Recreation Center Gymnasium  ICP 1 - 0,205,102,1,40,15,286,4,11,38,48,14,34
ED-Wilmington Island UMC  ICP 1 - 0,196,95,6,57,6,74,1,8,25,34,3,7
ED-Saint Francis of the Islands Episcopal Church ICP 1 - 0,178,74,1,38,8,55,0,7,13,18,5,6
ED-Cooper Center  ICP 1 - 0,15,3,0,0,0,134,6,5,1,6,18,18
ED-West Chatham Baptist Church  ICP 1 - 0,101,47,1,22,3,228,6,7,9,50,4,33
ED-Veterans of Foreign Wars #660 ICP 1 - 0,137,59,2,28,9,373,10,10,16,60,20,44
ED-Holy Spirit Lutheran Church  ICP 1 - 0,14,11,0,7,1,246,9,13,16,133,15,43
ICC-Provisional - 1,7,2,0,0,2,14,2,0,0,1,3,5
ICC-Absentee By Mail 1 - 40,0,1,0,0,0,3,0,0,0,0,0,0
