Jurisdiction Name,Batch Name,Ballots in Batch,Ticket Numbers: US Senate - Rep,Ticket Numbers: Governor - Dem,Audited?,Reported Results: US Senate - Rep,Audit Results: US Senate - Rep,Change in Results: US Senate - Rep,Change in Margin: US Senate - Rep,Reported Results: Governor - Dem,Audit Results: Governor - Dem,Change in Results: Governor - Dem,Change in Margin: Governor - Dem,Combined Batch
FULTON,ICC - ED-09B-09M-09N ICP 2,1135,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 10; Mike Collins: 29; John F. Coyne III: 8; Derek Dooley: 72; Jonathan ""Jon"" McColumn: 7","Earl L. ""Buddy"" Carter: 10; Mike Collins: 29; John F. Coyne III: 8; Derek Dooley: 72; Jonathan ""Jon"" McColumn: 7",,,"Keisha Lance Bottoms: 324; Olu Brown: 16; Amanda Duffy: 4; Geoff Duncan: 30; Jason Esteves: 516; Derrick Jackson: 9; Michael ""Mike"" Thurmond: 55","Keisha Lance Bottoms: 324; Olu Brown: 16; Amanda Duffy: 4; Geoff Duncan: 30; Jason Esteves: 516; Derrick Jackson: 9; Michael ""Mike"" Thurmond: 55",,,"Combines ICC - ED-09B-09M-09N ICP 2 - 1, ICC - ED-09B-09M-09N ICP 2 - 10, ICC - ED-09B-09M-09N ICP 2 - 11, ICC - ED-09B-09M-09N ICP 2 - 2, ICC - ED-09B-09M-09N ICP 2 - 3, ICC - ED-09B-09M-09N ICP 2 - 4, ICC - ED-09B-09M-09N ICP 2 - 5, ICC - ED-09B-09M-09N ICP 2 - 6, ICC - ED-09B-09M-09N ICP 2 - 7, ICC - ED-09B-09M-09N ICP 2 - 8, ICC - ED-09B-09M-09N ICP 2 - 9"
GILMER,ED-Leaches ICP 1 - 0,508,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 131; Mike Collins: 163; John F. Coyne III: 4; Derek Dooley: 111; Jonathan ""Jon"" McColumn: 8","Earl L. ""Buddy"" Carter: 131; Mike Collins: 163; John F. Coyne III: 4; Derek Dooley: 111; Jonathan ""Jon"" McColumn: 8",,,"Keisha Lance Bottoms: 25; Olu Brown: 0; Amanda Duffy: 3; Geoff Duncan: 10; Jason Esteves: 15; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 3","Keisha Lance Bottoms: 25; Olu Brown: 0; Amanda Duffy: 3; Geoff Duncan: 10; Jason Esteves: 15; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 2","Michael ""Mike"" Thurmond: +1",-1,
GILMER,ICC - Absentee By Mail - 1,34,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 4; Mike Collins: 3; John F. Coyne III: 2; Derek Dooley: 8; Jonathan ""Jon"" McColumn: 2","Earl L. ""Buddy"" Carter: 4; Mike Collins: 3; John F. Coyne III: 2; Derek Dooley: 8; Jonathan ""Jon"" McColumn: 2",,,"Keisha Lance Bottoms: 5; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 4; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 3","Keisha Lance Bottoms: 5; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 4; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 3",,,
GLASCOCK,AV - Registrars Office ICP 1 - 0,321,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 53; Mike Collins: 152; John F. Coyne III: 1; Derek Dooley: 77; Jonathan ""Jon"" McColumn: 2","Earl L. ""Buddy"" Carter: 53; Mike Collins: 152; John F. Coyne III: 1; Derek Dooley: 77; Jonathan ""Jon"" McColumn: 2",,,"Keisha Lance Bottoms: 11; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 2; Jason Esteves: 1; Derrick Jackson: 4; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 11; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 2; Jason Esteves: 1; Derrick Jackson: 4; Michael ""Mike"" Thurmond: 0",,,
GLASCOCK,ED - County Precinct ICP 1 - 0,304,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 58; Mike Collins: 129; John F. Coyne III: 1; Derek Dooley: 70; Jonathan ""Jon"" McColumn: 9","Earl L. ""Buddy"" Carter: 58; Mike Collins: 129; John F. Coyne III: 1; Derek Dooley: 70; Jonathan ""Jon"" McColumn: 9",,,"Keisha Lance Bottoms: 10; Olu Brown: 1; Amanda Duffy: 2; Geoff Duncan: 6; Jason Esteves: 1; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 1","Keisha Lance Bottoms: 10; Olu Brown: 1; Amanda Duffy: 2; Geoff Duncan: 6; Jason Esteves: 1; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 1",,,
GLASCOCK,ICC - Absentee by Mail - 1,17,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 3; Mike Collins: 4; John F. Coyne III: 0; Derek Dooley: 4; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 3; Mike Collins: 4; John F. Coyne III: 0; Derek Dooley: 4; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 3; Geoff Duncan: 2; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 3; Geoff Duncan: 2; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
GLASCOCK,ICC - Absentee by Mail - 2,1,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 1; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 1; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
GLYNN,AV-BAL ICP 1 - 0,2640,Round 1: 0.080646262381027719,,Yes,"Earl L. ""Buddy"" Carter: 1017; Mike Collins: 525; John F. Coyne III: 12; Derek Dooley: 153; Jonathan ""Jon"" McColumn: 42","Earl L. ""Buddy"" Carter: 1017; Mike Collins: 525; John F. Coyne III: 12; Derek Dooley: 153; Jonathan ""Jon"" McColumn: 42",,,"Keisha Lance Bottoms: 534; Olu Brown: 18; Amanda Duffy: 45; Geoff Duncan: 76; Jason Esteves: 77; Derrick Jackson: 34; Michael ""Mike"" Thurmond: 73","Keisha Lance Bottoms: 534; Olu Brown: 18; Amanda Duffy: 45; Geoff Duncan: 76; Jason Esteves: 77; Derrick Jackson: 34; Michael ""Mike"" Thurmond: 73",,,
GLYNN,AV-Elections Office ICP 1 - 0,2014,Round 1: 0.530287388527329967,,Yes,"Earl L. ""Buddy"" Carter: 292; Mike Collins: 177; John F. Coyne III: 10; Derek Dooley: 92; Jonathan ""Jon"" McColumn: 18","Earl L. ""Buddy"" Carter: 292; Mike Collins: 177; John F. Coyne III: 10; Derek Dooley: 92; Jonathan ""Jon"" McColumn: 18",,,"Keisha Lance Bottoms: 822; Olu Brown: 24; Amanda Duffy: 58; Geoff Duncan: 161; Jason Esteves: 123; Derrick Jackson: 55; Michael ""Mike"" Thurmond: 138","Keisha Lance Bottoms: 822; Olu Brown: 24; Amanda Duffy: 58; Geoff Duncan: 161; Jason Esteves: 123; Derrick Jackson: 55; Michael ""Mike"" Thurmond: 138",,,
GLYNN,ED-BWKN ICP 1 - 0,214,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 47; Mike Collins: 20; John F. Coyne III: 0; Derek Dooley: 18; Jonathan ""Jon"" McColumn: 6","Earl L. ""Buddy"" Carter: 47; Mike Collins: 20; John F. Coyne III: 0; Derek Dooley: 18; Jonathan ""Jon"" McColumn: 6",,,"Keisha Lance Bottoms: 73; Olu Brown: 5; Amanda Duffy: 3; Geoff Duncan: 8; Jason Esteves: 10; Derrick Jackson: 6; Michael ""Mike"" Thurmond: 11","Keisha Lance Bottoms: 73; Olu Brown: 5; Amanda Duffy: 3; Geoff Duncan: 8; Jason Esteves: 10; Derrick Jackson: 6; Michael ""Mike"" Thurmond: 11",,,
GLYNN,ED-CGLYN ICP 1 - 0,800,Round 1: 0.286826846869498886,,Yes,"Earl L. ""Buddy"" Carter: 314; Mike Collins: 160; John F. Coyne III: 10; Derek Dooley: 42; Jonathan ""Jon"" McColumn: 19","Earl L. ""Buddy"" Carter: 314; Mike Collins: 160; John F. Coyne III: 10; Derek Dooley: 42; Jonathan ""Jon"" McColumn: 19",,,"Keisha Lance Bottoms: 136; Olu Brown: 2; Amanda Duffy: 15; Geoff Duncan: 22; Jason Esteves: 32; Derrick Jackson: 12; Michael ""Mike"" Thurmond: 18","Keisha Lance Bottoms: 136; Olu Brown: 2; Amanda Duffy: 15; Geoff Duncan: 22; Jason Esteves: 32; Derrick Jackson: 12; Michael ""Mike"" Thurmond: 18",,,
GLYNN,ED-EGLYN ICP 1 - 0,508,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 105; Mike Collins: 74; John F. Coyne III: 1; Derek Dooley: 23; Jonathan ""Jon"" McColumn: 7","Earl L. ""Buddy"" Carter: 105; Mike Collins: 74; John F. Coyne III: 1; Derek Dooley: 23; Jonathan ""Jon"" McColumn: 7",,,"Keisha Lance Bottoms: 195; Olu Brown: 10; Amanda Duffy: 11; Geoff Duncan: 14; Jason Esteves: 25; Derrick Jackson: 13; Michael ""Mike"" Thurmond: 16","Keisha Lance Bottoms: 195; Olu Brown: 10; Amanda Duffy: 11; Geoff Duncan: 14; Jason Esteves: 25; Derrick Jackson: 13; Michael ""Mike"" Thurmond: 16",,,
GLYNN,ED-SSIN ICP 1 - 0,754,Round 1: 0.9058532406600372829,,Yes,"Earl L. ""Buddy"" Carter: 291; Mike Collins: 152; John F. Coyne III: 6; Derek Dooley: 96; Jonathan ""Jon"" McColumn: 28","Earl L. ""Buddy"" Carter: 291; Mike Collins: 152; John F. Coyne III: 6; Derek Dooley: 96; Jonathan ""Jon"" McColumn: 28",,,"Keisha Lance Bottoms: 52; Olu Brown: 2; Amanda Duffy: 8; Geoff Duncan: 37; Jason Esteves: 43; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 9","Keisha Lance Bottoms: 52; Olu Brown: 2; Amanda Duffy: 8; Geoff Duncan: 37; Jason Esteves: 43; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 9",,,
GLYNN,ICC-Absentee by Mail - 10,25,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 7; Mike Collins: 2; John F. Coyne III: 1; Derek Dooley: 5; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 7; Mike Collins: 2; John F. Coyne III: 1; Derek Dooley: 5; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 1; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 2; Jason Esteves: 0; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 6","Keisha Lance Bottoms: 1; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 2; Jason Esteves: 0; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 6",,,
GLYNN,ICC-Absentee by Mail - 18,25,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 4; John F. Coyne III: 0; Derek Dooley: 2; Jonathan ""Jon"" McColumn: 1","Earl L. ""Buddy"" Carter: 0; Mike Collins: 4; John F. Coyne III: 0; Derek Dooley: 2; Jonathan ""Jon"" McColumn: 1",,,"Keisha Lance Bottoms: 14; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 1; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 2","Keisha Lance Bottoms: 14; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 1; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 2",,,
GLYNN,ICC-Provisional - 1,18,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 2; Mike Collins: 3; John F. Coyne III: 1; Derek Dooley: 2; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 2; Mike Collins: 3; John F. Coyne III: 1; Derek Dooley: 2; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 8; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 8; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
GORDON,Absentee by mail ICP - 0,142,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 33; Mike Collins: 29; John F. Coyne III: 3; Derek Dooley: 19; Jonathan ""Jon"" McColumn: 5","Earl L. ""Buddy"" Carter: 33; Mike Collins: 29; John F. Coyne III: 3; Derek Dooley: 19; Jonathan ""Jon"" McColumn: 5",,,"Keisha Lance Bottoms: 34; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 7; Jason Esteves: 3; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 3","Keisha Lance Bottoms: 34; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 7; Jason Esteves: 3; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 3",,,
GORDON,ED-Red Bud ICP 1 - 0,499,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 84; Mike Collins: 175; John F. Coyne III: 3; Derek Dooley: 142; Jonathan ""Jon"" McColumn: 16","Earl L. ""Buddy"" Carter: 84; Mike Collins: 175; John F. Coyne III: 3; Derek Dooley: 142; Jonathan ""Jon"" McColumn: 16",,,"Keisha Lance Bottoms: 30; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 4; Jason Esteves: 17; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 4","Keisha Lance Bottoms: 30; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 4; Jason Esteves: 17; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 4",,,
GORDON,ED-Resaca ICP 1 - 0,245,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 42; Mike Collins: 102; John F. Coyne III: 3; Derek Dooley: 69; Jonathan ""Jon"" McColumn: 5","Earl L. ""Buddy"" Carter: 42; Mike Collins: 102; John F. Coyne III: 3; Derek Dooley: 69; Jonathan ""Jon"" McColumn: 5",,,"Keisha Lance Bottoms: 8; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 5; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 2","Keisha Lance Bottoms: 8; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 5; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 2",,,
GRADY,Absentee By Mail ICC - 3,2,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 2; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 2; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
GRADY,ED-Boy Scout Bldg ICP 1 - 0,313,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 68; Mike Collins: 125; John F. Coyne III: 1; Derek Dooley: 65; Jonathan ""Jon"" McColumn: 5","Earl L. ""Buddy"" Carter: 68; Mike Collins: 125; John F. Coyne III: 1; Derek Dooley: 65; Jonathan ""Jon"" McColumn: 5",,,"Keisha Lance Bottoms: 14; Olu Brown: 2; Amanda Duffy: 6; Geoff Duncan: 2; Jason Esteves: 3; Derrick Jackson: 4; Michael ""Mike"" Thurmond: 3","Keisha Lance Bottoms: 14; Olu Brown: 2; Amanda Duffy: 6; Geoff Duncan: 2; Jason Esteves: 3; Derrick Jackson: 4; Michael ""Mike"" Thurmond: 3",,,
GRADY,ED-Calvary VFD ICP 1 - 0,260,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 39; Mike Collins: 109; John F. Coyne III: 2; Derek Dooley: 29; Jonathan ""Jon"" McColumn: 6","Earl L. ""Buddy"" Carter: 39; Mike Collins: 109; John F. Coyne III: 2; Derek Dooley: 29; Jonathan ""Jon"" McColumn: 6",,,"Keisha Lance Bottoms: 46; Olu Brown: 1; Amanda Duffy: 3; Geoff Duncan: 3; Jason Esteves: 6; Derrick Jackson: 4; Michael ""Mike"" Thurmond: 5","Keisha Lance Bottoms: 46; Olu Brown: 1; Amanda Duffy: 3; Geoff Duncan: 3; Jason Esteves: 6; Derrick Jackson: 4; Michael ""Mike"" Thurmond: 5",,,
GRADY,Provisional ICC - 1,1,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
GREENE,AV-Elections Office ICP 2 - 0,183,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 33; Mike Collins: 69; John F. Coyne III: 1; Derek Dooley: 32; Jonathan ""Jon"" McColumn: 7","Earl L. ""Buddy"" Carter: 33; Mike Collins: 69; John F. Coyne III: 1; Derek Dooley: 32; Jonathan ""Jon"" McColumn: 7",,,"Keisha Lance Bottoms: 21; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 10; Jason Esteves: 2; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 4","Keisha Lance Bottoms: 21; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 10; Jason Esteves: 2; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 4",,,
GREENE,AV-Elections Office ICP 3 - 0,1613,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 196; Mike Collins: 586; John F. Coyne III: 6; Derek Dooley: 392; Jonathan ""Jon"" McColumn: 23","Earl L. ""Buddy"" Carter: 196; Mike Collins: 586; John F. Coyne III: 6; Derek Dooley: 392; Jonathan ""Jon"" McColumn: 23",,,"Keisha Lance Bottoms: 186; Olu Brown: 3; Amanda Duffy: 6; Geoff Duncan: 45; Jason Esteves: 42; Derrick Jackson: 7; Michael ""Mike"" Thurmond: 84","Keisha Lance Bottoms: 186; Olu Brown: 3; Amanda Duffy: 6; Geoff Duncan: 45; Jason Esteves: 42; Derrick Jackson: 7; Michael ""Mike"" Thurmond: 84",,,
GREENE,ICC-Absentee by Mail - 1,1,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
GREENE,ICC-Absentee by Mail - 4,13,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 5; Mike Collins: 5; John F. Coyne III: 0; Derek Dooley: 3; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 5; Mike Collins: 5; John F. Coyne III: 0; Derek Dooley: 3; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
GWINNETT,AV-Board of VR-Elections ICP 1A 1-78 - 0,2335,Round 1: 0.455822796222360229,,Yes,"Earl L. ""Buddy"" Carter: 132; Mike Collins: 157; John F. Coyne III: 3; Derek Dooley: 208; Jonathan ""Jon"" McColumn: 19","Earl L. ""Buddy"" Carter: 132; Mike Collins: 157; John F. Coyne III: 3; Derek Dooley: 206; Jonathan ""Jon"" McColumn: 19",Derek Dooley: +2,2,"Keisha Lance Bottoms: 1212; Olu Brown: 21; Amanda Duffy: 24; Geoff Duncan: 94; Jason Esteves: 174; Derrick Jackson: 36; Michael ""Mike"" Thurmond: 188","Keisha Lance Bottoms: 1212; Olu Brown: 21; Amanda Duffy: 23; Geoff Duncan: 94; Jason Esteves: 174; Derrick Jackson: 38; Michael ""Mike"" Thurmond: 188",Amanda Duffy: +1; Derrick Jackson: -2,2,
GWINNETT,AV-Five Forks Trickum Lib ICP 2A 1-78 - 0,1382,"Round 1: 0.046090052073719147, 0.138883790037442439",,Yes,"Earl L. ""Buddy"" Carter: 78; Mike Collins: 117; John F. Coyne III: 5; Derek Dooley: 162; Jonathan ""Jon"" McColumn: 19","Earl L. ""Buddy"" Carter: 77; Mike Collins: 114; John F. Coyne III: 5; Derek Dooley: 160; Jonathan ""Jon"" McColumn: 19","Earl L. ""Buddy"" Carter: +1; Mike Collins: +3; Derek Dooley: +2",1,"Keisha Lance Bottoms: 517; Olu Brown: 13; Amanda Duffy: 19; Geoff Duncan: 76; Jason Esteves: 198; Derrick Jackson: 25; Michael ""Mike"" Thurmond: 77","Keisha Lance Bottoms: 509; Olu Brown: 13; Amanda Duffy: 19; Geoff Duncan: 76; Jason Esteves: 196; Derrick Jackson: 24; Michael ""Mike"" Thurmond: 76","Keisha Lance Bottoms: +8; Jason Esteves: +2; Derrick Jackson: +1; Michael ""Mike"" Thurmond: +1",8,
GWINNETT,ED-002 Rockbridge A ICP2 - 0,227,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 12; Mike Collins: 8; John F. Coyne III: 0; Derek Dooley: 8; Jonathan ""Jon"" McColumn: 4","Earl L. ""Buddy"" Carter: 12; Mike Collins: 8; John F. Coyne III: 0; Derek Dooley: 8; Jonathan ""Jon"" McColumn: 4",,,"Keisha Lance Bottoms: 113; Olu Brown: 2; Amanda Duffy: 1; Geoff Duncan: 6; Jason Esteves: 32; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 26","Keisha Lance Bottoms: 113; Olu Brown: 2; Amanda Duffy: 1; Geoff Duncan: 6; Jason Esteves: 32; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 26",,,
GWINNETT,ED-020 Pinckneyville A ICP 1 - 0,170,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 6; Mike Collins: 9; John F. Coyne III: 0; Derek Dooley: 12; Jonathan ""Jon"" McColumn: 1","Earl L. ""Buddy"" Carter: 6; Mike Collins: 9; John F. Coyne III: 0; Derek Dooley: 12; Jonathan ""Jon"" McColumn: 1",,,"Keisha Lance Bottoms: 72; Olu Brown: 4; Amanda Duffy: 7; Geoff Duncan: 2; Jason Esteves: 36; Derrick Jackson: 4; Michael ""Mike"" Thurmond: 9","Keisha Lance Bottoms: 72; Olu Brown: 4; Amanda Duffy: 7; Geoff Duncan: 2; Jason Esteves: 36; Derrick Jackson: 4; Michael ""Mike"" Thurmond: 9",,,
GWINNETT,ED-027 Hog Mountain B ICP 1 - 0,450,Round 1: 0.710718006777092883,,Yes,"Earl L. ""Buddy"" Carter: 37; Mike Collins: 62; John F. Coyne III: 4; Derek Dooley: 72; Jonathan ""Jon"" McColumn: 7","Earl L. ""Buddy"" Carter: 37; Mike Collins: 62; John F. Coyne III: 4; Derek Dooley: 72; Jonathan ""Jon"" McColumn: 7",,,"Keisha Lance Bottoms: 155; Olu Brown: 3; Amanda Duffy: 4; Geoff Duncan: 12; Jason Esteves: 45; Derrick Jackson: 8; Michael ""Mike"" Thurmond: 16","Keisha Lance Bottoms: 155; Olu Brown: 3; Amanda Duffy: 4; Geoff Duncan: 12; Jason Esteves: 45; Derrick Jackson: 8; Michael ""Mike"" Thurmond: 16",,,
GWINNETT,ED-040 Pinckneyville H ICP 1 - 0,224,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 15; Mike Collins: 26; John F. Coyne III: 1; Derek Dooley: 29; Jonathan ""Jon"" McColumn: 1","Earl L. ""Buddy"" Carter: 15; Mike Collins: 26; John F. Coyne III: 1; Derek Dooley: 29; Jonathan ""Jon"" McColumn: 1",,,"Keisha Lance Bottoms: 70; Olu Brown: 3; Amanda Duffy: 5; Geoff Duncan: 15; Jason Esteves: 34; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 6","Keisha Lance Bottoms: 70; Olu Brown: 3; Amanda Duffy: 5; Geoff Duncan: 15; Jason Esteves: 34; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 6",,,
GWINNETT,ED-052 Berkshire G-112 Berkshire N ICP 2 - 0,367,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 29; Mike Collins: 46; John F. Coyne III: 0; Derek Dooley: 65; Jonathan ""Jon"" McColumn: 6","Earl L. ""Buddy"" Carter: 29; Mike Collins: 46; John F. Coyne III: 0; Derek Dooley: 65; Jonathan ""Jon"" McColumn: 6",,,"Keisha Lance Bottoms: 91; Olu Brown: 4; Amanda Duffy: 3; Geoff Duncan: 21; Jason Esteves: 54; Derrick Jackson: 7; Michael ""Mike"" Thurmond: 13","Keisha Lance Bottoms: 91; Olu Brown: 4; Amanda Duffy: 3; Geoff Duncan: 21; Jason Esteves: 54; Derrick Jackson: 7; Michael ""Mike"" Thurmond: 13",,,
GWINNETT,ED-053 Cates H ICP 1 - 0,209,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 13; Mike Collins: 11; John F. Coyne III: 1; Derek Dooley: 17; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 13; Mike Collins: 11; John F. Coyne III: 1; Derek Dooley: 17; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 109; Olu Brown: 3; Amanda Duffy: 3; Geoff Duncan: 1; Jason Esteves: 28; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 14","Keisha Lance Bottoms: 109; Olu Brown: 3; Amanda Duffy: 3; Geoff Duncan: 1; Jason Esteves: 28; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 14",,,
