Jurisdiction Name,Batch Name,Ballots in Batch,Ticket Numbers: US Senate - Rep,Ticket Numbers: Governor - Dem,Audited?,Reported Results: US Senate - Rep,Audit Results: US Senate - Rep,Change in Results: US Senate - Rep,Change in Margin: US Senate - Rep,Reported Results: Governor - Dem,Audit Results: Governor - Dem,Change in Results: Governor - Dem,Change in Margin: Governor - Dem,Combined Batch
BALDWIN,ED-West Thomas ICP 1 - 0,176,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 6; Mike Collins: 23; John F. Coyne III: 0; Derek Dooley: 7; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 6; Mike Collins: 23; John F. Coyne III: 0; Derek Dooley: 7; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 75; Olu Brown: 1; Amanda Duffy: 2; Geoff Duncan: 2; Jason Esteves: 16; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 37","Keisha Lance Bottoms: 75; Olu Brown: 1; Amanda Duffy: 2; Geoff Duncan: 2; Jason Esteves: 16; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 37",,,
BALDWIN,ICC-Absentee by Mail - 1,50,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 4; Mike Collins: 8; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 4; Mike Collins: 8; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 22; Olu Brown: 1; Amanda Duffy: 1; Geoff Duncan: 1; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 12","Keisha Lance Bottoms: 22; Olu Brown: 1; Amanda Duffy: 1; Geoff Duncan: 1; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 12",,,
BALDWIN,ICC-Absentee by Mail - 2,50,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 2; Mike Collins: 7; John F. Coyne III: 2; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 2; Mike Collins: 7; John F. Coyne III: 2; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 20; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 2; Jason Esteves: 0; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 11","Keisha Lance Bottoms: 20; Olu Brown: 0; Amanda Duffy: 1; Geoff Duncan: 2; Jason Esteves: 0; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 11",,,
BANKS,AV-Elections Office ICP 1 - 0,1623,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 353; Mike Collins: 560; John F. Coyne III: 9; Derek Dooley: 476; Jonathan ""Jon"" McColumn: 30","Earl L. ""Buddy"" Carter: 353; Mike Collins: 560; John F. Coyne III: 9; Derek Dooley: 476; Jonathan ""Jon"" McColumn: 30",,,"Keisha Lance Bottoms: 65; Olu Brown: 2; Amanda Duffy: 1; Geoff Duncan: 24; Jason Esteves: 22; Derrick Jackson: 4; Michael ""Mike"" Thurmond: 14","Keisha Lance Bottoms: 65; Olu Brown: 2; Amanda Duffy: 1; Geoff Duncan: 24; Jason Esteves: 22; Derrick Jackson: 4; Michael ""Mike"" Thurmond: 14",,,
BANKS,ED- Elections Office ICP 2 - 0,886,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 141; Mike Collins: 346; John F. Coyne III: 9; Derek Dooley: 284; Jonathan ""Jon"" McColumn: 13","Earl L. ""Buddy"" Carter: 141; Mike Collins: 346; John F. Coyne III: 9; Derek Dooley: 284; Jonathan ""Jon"" McColumn: 13",,,"Keisha Lance Bottoms: 23; Olu Brown: 1; Amanda Duffy: 5; Geoff Duncan: 10; Jason Esteves: 16; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 2","Keisha Lance Bottoms: 23; Olu Brown: 1; Amanda Duffy: 5; Geoff Duncan: 10; Jason Esteves: 16; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 2",,,
BANKS,ICC-Absentee By Mail - 7,9,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 2; Mike Collins: 3; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 2; Mike Collins: 3; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 2","Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 2",,,
BARROW,ED-02 ICP 2 - 0,573,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 81; Mike Collins: 201; John F. Coyne III: 2; Derek Dooley: 138; Jonathan ""Jon"" McColumn: 12","Earl L. ""Buddy"" Carter: 81; Mike Collins: 201; John F. Coyne III: 2; Derek Dooley: 138; Jonathan ""Jon"" McColumn: 10","Jonathan ""Jon"" McColumn: +2",2,"Keisha Lance Bottoms: 57; Olu Brown: 1; Amanda Duffy: 2; Geoff Duncan: 13; Jason Esteves: 29; Derrick Jackson: 9; Michael ""Mike"" Thurmond: 10","Keisha Lance Bottoms: 57; Olu Brown: 1; Amanda Duffy: 2; Geoff Duncan: 13; Jason Esteves: 29; Derrick Jackson: 9; Michael ""Mike"" Thurmond: 10",,,
BARROW,ED-13 ICP 1 - 0,584,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 48; Mike Collins: 137; John F. Coyne III: 6; Derek Dooley: 101; Jonathan ""Jon"" McColumn: 13","Earl L. ""Buddy"" Carter: 48; Mike Collins: 137; John F. Coyne III: 6; Derek Dooley: 101; Jonathan ""Jon"" McColumn: 12","Jonathan ""Jon"" McColumn: +1",1,"Keisha Lance Bottoms: 139; Olu Brown: 4; Amanda Duffy: 4; Geoff Duncan: 12; Jason Esteves: 47; Derrick Jackson: 9; Michael ""Mike"" Thurmond: 32","Keisha Lance Bottoms: 139; Olu Brown: 4; Amanda Duffy: 4; Geoff Duncan: 12; Jason Esteves: 47; Derrick Jackson: 9; Michael ""Mike"" Thurmond: 32",,,
BARROW,ICC-Absentee by Mail - 2,49,Round 1: 0.9088955580466120027,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 4; Mike Collins: 7; John F. Coyne III: 0; Derek Dooley: 6; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 4; Mike Collins: 7; John F. Coyne III: 0; Derek Dooley: 6; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 5; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 5; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
BARTOW,ED-Cartersville West ICP 1 - 0,1183,,Round 1: 0.468722862632969295,Yes,"Earl L. ""Buddy"" Carter: 154; Mike Collins: 297; John F. Coyne III: 9; Derek Dooley: 337; Jonathan ""Jon"" McColumn: 30","Earl L. ""Buddy"" Carter: 154; Mike Collins: 294; John F. Coyne III: 9; Derek Dooley: 336; Jonathan ""Jon"" McColumn: 30",Mike Collins: +3; Derek Dooley: +1,1,"Keisha Lance Bottoms: 167; Olu Brown: 2; Amanda Duffy: 11; Geoff Duncan: 26; Jason Esteves: 61; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 25","Keisha Lance Bottoms: 167; Olu Brown: 2; Amanda Duffy: 11; Geoff Duncan: 26; Jason Esteves: 61; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 25",Derrick Jackson: -1,1,
